BigOrangeQWQ/unification_table|0.1.2|Apache-2.0|A module for unification table operations in data structures and algorithms.
BigOrangeQWQ/uri|0.1.0|Apache-2.0|URI parser for Moonbit
BigOrangeQWQ/wasi-cli|0.2.6|Apache-2.0|
BigOrangeQWQ/wasi-clocks|0.2.6|Apache-2.0|
BigOrangeQWQ/wasi-filesystem|0.2.6|Apache-2.0|
BigOrangeQWQ/wasi-io|0.2.6|Apache-2.0|
BigOrangeQWQ/wasi-random|0.2.6|Apache-2.0|
BigOrangeQWQ/wasi-sockets|0.2.6|Apache-2.0|
BigOrangeQWQ/wit-ffi|0.1.0|Apache-2.0|A WIT FFI for the Moon programming language
BigOrangeQWQ/wit-wasi-clocks|0.2.6|Apache-2.0|
BigOrangeQWQ/wit-wasi-io|0.2.6|Apache-2.0|
BigOrangeQWQ/wit-wasi-random|0.2.6|Apache-2.0|
BigThree33/find_min|0.1.0|Apache-2.0|
bikallem/blit|0.2.2|Apache-2.0|Fast byte-level blit, fill, match, and uninit allocation for MoonBit
bikallem/chai|0.1.0|MIT|Chai is TEA (The Elm Architecture) framework for MoonBit
bikallem/compress|0.3.4|Apache-2.0|Compression library for MoonBit: flate, gzip, zlib, lzw, bzip2, snappy, lz4, zstd, brotli
bikallem/freetype|0.5.3|Apache-2.0|Pure MoonBit FreeType-compatible font engine
bikallem/image|0.1.0|Apache-2.0|
bikallem/mariadb|0.0.1|Apache-2.0|MariaDB/MySQL client library for Moonbit
bikallem/reactive|0.2.0|MPL-2.0|A reactive programming library for Moonbit
bikallem/rsignal|0.3.0|MPL-2.0|rsignal - A reactive web programming library for Moonbit
bikallem/webapi|0.5.0|Apache-2.0|Moonbit browser WebApi - dom, fetch, html, xhr, url, svg, uievents and more
black-duck666/moontxnkit|0.3.0|Apache-2.0|Deterministic atomic state transitions, MVCC transactions and logical recovery for MoonBit.
bnyu2/channel|0.1.1|Apache-2.0|
bob/aegis|0.1.0|MIT|AEGIS cipher implementation in Moonbit
bob/hashbrown|0.1.0|Apache-2.0|MoonBit port of Google's SwissTable hash map - a high-performance drop-in replacement for standard hash maps
bob/lexer|0.1.0|Apache-2.0|A generic lexer library for handwritten lexers in MoonBit
bob/toml|0.1.6|Apache-2.0|A TOML parser implementation in MoonBit
bobzhang/bap|0.2.2|Apache-2.0|
bobzhang/beautiful_mermaid|0.1.5|MIT|MoonBit port of beautiful-mermaid: render Mermaid diagrams to SVG and ASCII/Unicode text.
bobzhang/blog-app|0.3.2|Apache-2.0|
bobzhang/codex_workflow|0.1.1|Apache-2.0|Multi-agent workflow runner for Codex.
bobzhang/colors|0.8.1|MIT|A pure MoonBit library for manipulating colors in different color spaces (RGB, LinearRGB, XYZ, LUV)
bobzhang/compose-demo|0.1.0|Apache-2.0|
bobzhang/contacts|0.3.2|Apache-2.0|
bobzhang/crescent|0.10.0|Apache-2.0|Crescent: A web framework for MoonBit.
bobzhang/crescent-benchmarks|0.0.1|Apache-2.0|Benchmarks for the Crescent web framework.
bobzhang/crescent-examples|0.0.1|Apache-2.0|Example applications for the Crescent web framework.
bobzhang/docx2html|0.1.42|Apache-2.0|Native MoonBit DOCX to HTML/Markdown converter ported from Mammoth
bobzhang/finapp|0.1.0|Apache-2.0|
bobzhang/flowgraph|0.1.1|Apache-2.0|A lightweight MoonBit library for building directed graphs and exporting to Graphviz DOT or Mermaid flowcharts.
bobzhang/fuzzyscore|0.1.1|Apache-2.0|
bobzhang/gallery|0.2.2|Apache-2.0|
bobzhang/games|0.9.33|MIT|
bobzhang/hol|0.1.1|MIT|HOL theorem prover in MoonBit
bobzhang/holm|0.1.1|MIT|Step-by-step MoonBit port of make-a-hol
bobzhang/html_parser|0.1.7|Apache-2.0|MoonBit HTML parser and sanitizer ported from JustHTML.
bobzhang/html_parser_examples|0.1.0|Apache-2.0|Runnable examples and documentation for bobzhang/html_parser.
bobzhang/ipaddr|0.1.1|ISC|A library for manipulation of IP (IPv4/IPv6) and MAC address representations
bobzhang/issues|0.1.5|Apache-2.0|SQLite-backed DAG issue tracker with a MoonBit CLI and Rabbit Tea dashboard.
bobzhang/jsonl|0.2.0|Apache-2.0|Async reader for JSON Lines (newline-delimited JSON) streams.
bobzhang/kanban|0.3.2|Apache-2.0|
bobzhang/kimicc|0.1.243|Apache-2.0|
bobzhang/lexer|0.2.0|Apache-2.0|A generic lexer library for handwritten lexers in MoonBit
bobzhang/liquid|0.1.0|Apache-2.0|
bobzhang/lisp_interpreter|0.1.1|Apache-2.0|
bobzhang/loop_invariants|0.8.0|Apache-2.0|Comprehensive collection of algorithms and data structures with well-documented loop invariants for correctness reasoning
bobzhang/loop_invariants_data_structures|0.11.0|Apache-2.0|Data structures with loop-invariant explanations
bobzhang/loop_invariants_dp|0.14.0|Apache-2.0|Dynamic programming algorithms with loop-invariant explanations
bobzhang/loop_invariants_geometry|0.13.0|Apache-2.0|Computational geometry algorithms with loop-invariant explanations
bobzhang/loop_invariants_graph|0.17.0|Apache-2.0|Graph and tree algorithms with loop-invariant explanations
bobzhang/loop_invariants_math|0.16.0|Apache-2.0|Mathematical algorithms with loop-invariant explanations
bobzhang/loop_invariants_persistent|0.8.0|Apache-2.0|Persistent data structure examples with loop-invariant explanations
bobzhang/loop_invariants_string|0.14.0|Apache-2.0|String algorithms with loop-invariant explanations
bobzhang/loop_invariants_techniques|0.17.0|Apache-2.0|General algorithmic techniques with loop-invariant explanations
bobzhang/loop_invariants_verified|0.8.0|Apache-2.0|Verified loop-invariant examples
bobzhang/mbtexcel|0.1.7|Apache-2.0|A MoonBit port of the Go excelize library for reading and writing XLSX (Excel) spreadsheets.
bobzhang/mbtpdf|0.1.2|Apache-2.0|
bobzhang/moonjq|0.1.0|Apache-2.0|A jq implementation in MoonBit
bobzhang/nodegraph|0.1.0|Apache-2.0|
bobzhang/noteapp|0.3.2|Apache-2.0|
bobzhang/openseek|0.2.2|Apache-2.0|DeepSeek-backed MoonBit coding agent
bobzhang/pdflite|0.1.40|Apache-2.0|Byte-oriented PDF reading, writing, and manipulation toolkit for MoonBit.
bobzhang/pollapp|0.3.2|Apache-2.0|
bobzhang/portable_cli|0.1.11|Apache-2.0|Portable MoonBit CLI examples that compile to WASIp1 and run across WASM runtimes.
bobzhang/prove|0.0.2|Apache-2.0|
bobzhang/qrc|0.1.1|ISC|QR code encoder for MoonBit - port of dbuenzli/qrc
bobzhang/scheme-r6rs|0.1.0|MIT|R6RS Scheme interpreter in MoonBit
bobzhang/sexp|0.1.2|Apache-2.0|
bobzhang/splitwise|0.3.2|Apache-2.0|
bobzhang/spreadsheet|0.1.1|Apache-2.0|
bobzhang/tar|0.1.1|ISC|Pure MoonBit library to read and write tar files with streaming support
bobzhang/taskflow|0.3.2|Apache-2.0|
bobzhang/testa|0.1.0||
bobzhang/testb|0.1.0||
bobzhang/todo-list|0.3.2|Apache-2.0|
bobzhang/toml|0.4.1|Apache-2.0|A TOML parser implementation in MoonBit
bobzhang/unmarshal|0.3.0|Apache-2.0|unmarshal ocaml marshalled data
bobzhang/uri|0.1.0|Apache-2.0|RFC3986 compliant URI parsing library for MoonBit
bobzhang/uuidm|0.1.2|ISC|Universally unique identifiers (UUIDs) for MoonBit - supports UUID versions 3, 4, 5, 7, and 8 according to RFC 9562
bobzhang/vg|0.3.0|ISC|Declarative 2D vector graphics library for MoonBit
bobzhang/zip|0.1.0|Apache-2.0|
bobzhang/zipc|0.1.1|ISC|ZIP archive and deflate codec for MoonBit - ported from OCaml zipc library
brickfrog/moontrace|0.13.0|Apache-2.0|Structured tracing for MoonBit with spans, structured fields, pluggable subscribers.
brickfrog/pippa|0.1.0|Apache-2.0|A terminal UI framework for MoonBit, inspired by bubbletea (Go) and Elm architecture. Provides a Model-Update-View pattern with typed messages, ANSI rendering, and composable components.
brickfrog/tempo|0.8.0|Apache-2.0|UTC date/time library — RFC 3339 parsing, Unix timestamps, arithmetic
brother-666/moonwheelkit|0.2.1|Apache-2.0|A deterministic hierarchical timing wheel and virtual-time scheduler for MoonBit.
buggg-hfc/hello|0.1.1|Apache-2.0|A easy lower_bound function
bzy-debug/cowsay|0.1.0||
bzy-debug/cowsay_lib|0.1.0||
bzy-debug/hello|0.1.20240510+81e045f4e|Apache-2.0|
bzy-debug/json_parser|0.1.0|Apache-2.0|A complete JSON parser implementation in MoonBit supporting all JSON data types with comprehensive error handling
bzy-debug/string_zipper|0.1.3|Apache-2.0|A production-ready text editing data structure with efficient cursor navigation and proper Unicode handling
bzy-debug/text_document|0.1.0|Apache-2.0|A high-performance text document library for MoonBit that provides LSP-compatible text editing operations. This library is a port of the OCaml LSP text document implementation and is designed for production use in language servers and text editors.
caassien/jsonpath|0.1.0|Apache-2.0|A High-Performance JSONPath Engine for MoonBit ecosystem
caassien/moonbio|0.1.0|MIT|
CAIMEOX/alg-pattern|0.1.0|Apache-2.0|The algebra of patterns
CAIMEOX/box|0.1.3|Apache-2.0|Combinators for creating and manipulating two-dimensional rectangular text layouts
